수준,어휘,길잡이말,품사,中文,길잡이말,中文,품사,中文,어휘
중급,너머,山那邊산 너머,名詞명사,超過,산 너머,山那邊,명사,名詞,너머
중급,너무나,太棒了너무나 좋다,副詞부사,太多了,너무나 좋다,太棒了,부사,副詞,너무나
중급,넉넉하다,時間시간이,形容詞형용사,充足,시간이,時間,형용사,形容詞,넉넉하다
중급,널다,洗衣店빨래를,動詞동사,展開,빨래를,洗衣店,동사,動詞,널다01
중급,널리,廣為人知널리 알려지다,副詞부사,廣泛地,널리 알려지다,廣為人知,부사,副詞,널리
중급,넓어지다,寬度폭이,動詞동사,擴大,폭이,寬度,동사,動詞,넓어지다
중급,넓이,測量를 재다,名詞명사,程度,를 재다,測量,명사,名詞,넓이
중급,넓히다,道路길을,動詞동사,擴大,길을,道路,동사,動詞,넓히다
중급,넘겨주다,專案물건을,動詞동사,交出,물건을,專案,동사,動詞,넘겨주다
중급,넘기다,太陽해를,動詞동사,翻,해를,太陽,동사,動詞,넘기다
중급,넘어가다,棍子막대기가,動詞동사,繼續前進,막대기가,棍子,동사,動詞,넘어가다01
중급,넘어뜨리다,樹木나무를,動詞동사,擊倒,나무를,樹木,동사,動詞,넘어뜨리다
중급,넘어서다,山산을,動詞동사,超越,산을,山,동사,動詞,넘어서다
중급,넘어오다,這棵樹나무가,動詞동사,過來,나무가,這棵樹,동사,動詞,넘어오다
중급,넘치다,河강물이,動詞동사,溢出,강물이,河,동사,動詞,넘치다
중급,네모,畫를 그리다,名詞명사,方塊,를 그리다,畫,명사,名詞,네모
중급,네티즌,擔任으로 활동하다,名詞명사,網友,으로 활동하다,擔任,명사,名詞,네티즌
중급,녀석,壞人나쁜 녀석,從屬名詞의존명사,男生,나쁜 녀석,壞人,의존명사,從屬名詞,녀석
중급,년대,2000年代이천 년대,從屬名詞의존명사,年,이천 년대,2000年代,의존명사,從屬名詞,년대
중급,년도,兩千年이천 년도,從屬名詞의존명사,年,이천 년도,兩千年,의존명사,從屬名詞,년도
중급,노동,工作時間노동 시간,名詞명사,勞動,노동 시간,工作時間,명사,名詞,노동03
중급,노동자,工作로 일하다,名詞명사,勞工,로 일하다,工作,명사,名詞,노동자
중급,노랑,顏色색,名詞명사,黃色的,색,顏色,명사,名詞,노랑01
중급,노려보다,對手상대를,動詞동사,怒目而視,상대를,對手,동사,動詞,노려보다
중급,노선,地鐵線路지하철 노선,名詞명사,路線,지하철 노선,地鐵線路,명사,名詞,노선01
중급,노선도,公車路線圖버스 노선도,名詞명사,路線圖,버스 노선도,公車路線圖,명사,名詞,노선도
중급,노약자,保護를 보호하다,名詞명사,老年人和體弱者,를 보호하다,保護,명사,名詞,노약자
중급,노트북,這已破了이 고장나다,名詞명사,筆記型電腦,이 고장나다,這已破了,명사,名詞,노트북
중급,녹다,冰얼음이,動詞동사,引信,얼음이,冰,동사,動詞,녹다01
중급,녹음,聽을 듣다,名詞명사,記錄,을 듣다,聽,명사,名詞,녹음03
중급,녹음기,記錄로 녹음하다,名詞명사,錄音機,로 녹음하다,記錄,명사,名詞,녹음기
중급,녹이다,冰얼음을,動詞동사,融化,얼음을,冰,동사,動詞,녹이다
중급,녹화,廣播錄製방송 녹화,名詞명사,電視錄影,방송 녹화,廣播錄製,명사,名詞,녹화03
중급,논리,合身에 맞다,名詞명사,邏輯,에 맞다,合身,명사,名詞,논리
중급,논리적,邏輯思維논리적 사고,形容詞和名詞관형사·명사,邏輯,논리적 사고,邏輯思維,관형사·명사,形容詞和名詞,논리적01
중급,논의,經歷를 거치다,名詞명사,爭論,를 거치다,經歷,명사,名詞,논의02
중급,논쟁,開始을 벌이다,名詞명사,爭議,을 벌이다,開始,명사,名詞,논쟁
중급,놀랍다,權力위력이,形容詞형용사,驚人的,위력이,權力,형용사,形容詞,놀랍다
중급,놀리다,朋友們친구를,動詞동사,測驗,친구를,朋友們,동사,動詞,놀리다01
중급,놀리다,玩得開心신나게,動詞동사,測驗,신나게,玩得開心,동사,動詞,놀리다03
중급,놀이공원,前往에 가다,名詞명사,遊樂園,에 가다,前往,명사,名詞,놀이공원
중급,놀이터,玩에서 놀다,名詞명사,操場,에서 놀다,玩,명사,名詞,놀이터
중급,농민,培養이 경작하다,名詞명사,農民,이 경작하다,培養,명사,名詞,농민
중급,농부,播種가 씨를 뿌리다,名詞명사,農民,가 씨를 뿌리다,播種,명사,名詞,농부01
중급,농사,建造를 짓다,名詞명사,農業,를 짓다,建造,명사,名詞,농사01
중급,농사일,幫助을 돕다,名詞명사,農業,을 돕다,幫助,명사,名詞,농사일
중급,농산물,出售을 판매하다,名詞명사,農產品,을 판매하다,出售,명사,名詞,농산물
중급,농업,在…工作에 종사하다,名詞명사,農業,에 종사하다,在…工作,명사,名詞,농업
중급,농촌,農業에서 농사를 짓다,名詞명사,農村地區,에서 농사를 짓다,農業,명사,名詞,농촌
중급,높아지다,海浪파도가,動詞동사,上升,파도가,海浪,동사,動詞,높아지다
중급,높이다,大樓건물을,動詞동사,增高,건물을,大樓,동사,動詞,높이다
중급,높임말,寫을 쓰다,名詞명사,敬語,을 쓰다,寫,명사,名詞,높임말
중급,놓아두다,在桌子上책상 위에,動詞동사,離開,책상 위에,在桌子上,동사,動詞,놓아두다
중급,놓이다,心마음이,動詞동사,去,마음이,心,동사,動詞,놓이다
중급,놓치다,雙手손을,動詞동사,錯過,손을,雙手,동사,動詞,놓치다
중급,놔두다,在桌子上탁자 위에,動詞동사,離開,탁자 위에,在桌子上,동사,動詞,놔두다
중급,뇌,腦細胞뇌 세포,名詞명사,腦,뇌 세포,腦細胞,명사,名詞,뇌03
중급,누님,二姐둘째 누님,名詞명사,姊姊,둘째 누님,二姐,명사,名詞,누님
중급,눈가,申請에 바르다,名詞명사,眼部區域,에 바르다,申請,명사,名詞,눈가
중급,눈감다,我的祖父할아버지께서,動詞동사,閉上眼睛,할아버지께서,我的祖父,동사,動詞,눈감다
중급,눈길,就這樣이 가다,名詞명사,視線,이 가다,就這樣,명사,名詞,눈길01
중급,눈동자,它很大가 크다,名詞명사,瞳孔,가 크다,它很大,명사,名詞,눈동자
중급,눈뜨다,在早晨아침에,動詞동사,睜,아침에,在早晨,동사,動詞,눈뜨다
중급,눈병,被抓에 걸리다,名詞명사,眼疾,에 걸리다,被抓,명사,名詞,눈병
중급,눈부시다,燈光조명이,形容詞형용사,耀眼的,조명이,燈光,형용사,形容詞,눈부시다
중급,눈빛,溫暖的眼神따뜻한 눈빛,名詞명사,閃爍,따뜻한 눈빛,溫暖的眼神,명사,名詞,눈빛01
중급,눈사람,製作을 만들다,名詞명사,雪人,을 만들다,製作,명사,名詞,눈사람
중급,눈싸움,冬天겨울,名詞명사,雪球大戰,겨울,冬天,명사,名詞,눈싸움02
중급,눈썹,畫을 그리다,名詞명사,眉,을 그리다,畫,명사,名詞,눈썹
중급,눈앞,顯眼에 보이다,名詞명사,就在我眼前,에 보이다,顯眼,명사,名詞,눈앞
중급,눈치,沒有가 없다,名詞명사,感覺,가 없다,沒有,명사,名詞,눈치
중급,눕히다,在床上침대에,動詞동사,休息,침대에,在床上,동사,動詞,눕히다
중급,느긋하다,心마음이,形容詞형용사,輕鬆,마음이,心,형용사,形容詞,느긋하다02
중급,느끼하다,油炸食品튀김이,形容詞형용사,膩,튀김이,油炸食品,형용사,形容詞,느끼하다
중급,늘리다,規模규모를,動詞동사,增加,규모를,規模,동사,動詞,늘리다
중급,늘어나다,人사람이,動詞동사,增加,사람이,人,동사,動詞,늘어나다
중급,늘어놓다,藉口변명을,動詞동사,展開,변명을,藉口,동사,動詞,늘어놓다
중급,늘어서다,這輛車차가,動詞동사,排隊,차가,這輛車,동사,動詞,늘어서다
중급,늘이다,橡皮筋고무줄을,動詞동사,延長,고무줄을,橡皮筋,동사,動詞,늘이다01
중급,늦가을,深秋天氣늦가을의 날씨,名詞명사,深秋,늦가을의 날씨,深秋天氣,명사,名詞,늦가을
중급,늦겨울,這段路經過이 지나다,名詞명사,冬末,이 지나다,這段路經過,명사,名詞,늦겨울
중급,늦봄,這段路經過이 지나다,名詞명사,晚春,이 지나다,這段路經過,명사,名詞,늦봄
중급,늦어지다,工作일이,動詞동사,延遲,일이,工作,동사,動詞,늦어지다
중급,늦여름,這段路經過이 지나다,名詞명사,夏末,이 지나다,這段路經過,명사,名詞,늦여름
중급,늦잠,睡覺을 자다,名詞명사,睡過頭,을 자다,睡覺,명사,名詞,늦잠
중급,늦추다,時機시기를,動詞동사,鬆開,시기를,時機,동사,動詞,늦추다
중급,님,洪吉東先生홍길동 님,從屬名詞의존명사,先生,홍길동 님,洪吉東先生,의존명사,從屬名詞,님01
중급,-님,老師선생님,詞綴접사,-先生,선생님,老師,접사,詞綴,-님04
중급,다가가다,朝門口方向문 쪽으로,動詞동사,方法,문 쪽으로,朝門口方向,동사,動詞,다가가다
중급,다가서다,靠近側面옆으로 바짝,動詞동사,方法,옆으로 바짝,靠近側面,동사,動詞,다가서다
중급,다가오다,朝我們這邊우리 쪽으로,動詞동사,方法,우리 쪽으로,朝我們這邊,동사,動詞,다가오다
중급,다녀가다,在家裡집에,動詞동사,已訪問,집에,在家裡,동사,動詞,다녀가다
중급,다듬다,高麗菜배추를,動詞동사,修剪,배추를,高麗菜,동사,動詞,다듬다
중급,다루다,工作업무를,動詞동사,處理,업무를,工作,동사,動詞,다루다01
중급,다름없다,先前定罪전과,形容詞형용사,並無不同。,전과,先前定罪,형용사,形容詞,다름없다
중급,다리다,衣服옷을,動詞동사,橋,옷을,衣服,동사,動詞,다리다01
중급,다리미,鐵布로 옷을 다리다,名詞명사,鐵,로 옷을 다리다,鐵布,명사,名詞,다리미
중급,다만,只是~다만 ~뿐이다,副詞부사,但,다만 ~뿐이다,只是~,부사,副詞,다만01
중급,다물다,嘴입을,動詞동사,保持安靜,입을,嘴,동사,動詞,다물다
중급,다방,集合地點에서 만나다,名詞명사,咖啡廳,에서 만나다,集合地點,명사,名詞,다방02
중급,다소,速度還算快。다소 빠르다,副詞/名詞부사/명사,一些,다소 빠르다,速度還算快。,부사/명사,副詞/名詞,다소01
중급,다수,參加가 참여하다,名詞명사,民眾,가 참여하다,參加,명사,名詞,다수
중급,다운로드,接收를 받다,名詞명사,下載,를 받다,接收,명사,名詞,다운로드
중급,다정,展示을 보이다,名詞명사,親熱,을 보이다,展示,명사,名詞,다정01
중급,다지다,蒜마늘을,動詞동사,袖珍的,마늘을,蒜,동사,動詞,다지다02
중급,다짐,接收을 받다,名詞명사,解決,을 받다,接收,명사,名詞,다짐
중급,다투다,孩子們아이들이,動詞동사,抗衡,아이들이,孩子們,동사,動詞,다투다
중급,다행,可以這樣想으로 생각하다,名詞명사,幸運的是,으로 생각하다,可以這樣想,명사,名詞,다행
중급,다행스럽다,感到幸運다행스럽게 생각하다,形容詞형용사,這是件好事。,다행스럽게 생각하다,感到幸運,형용사,形容詞,다행스럽다
중급,다행히,幸運的是找到了다행히 찾다,副詞부사,幸運的是,다행히 찾다,幸運的是找到了,부사,副詞,다행히
중급,단,僅僅一天단 하루,決定因素관형사,步,단 하루,僅僅一天,관형사,決定因素,단10
중급,단계,最後階段마무리 단계,名詞명사,步,마무리 단계,最後階段,명사,名詞,단계03
중급,단골,常規的단골 손님,名詞명사,連接,단골 손님,常規的,명사,名詞,단골01
중급,단기,短期培訓단기 교육,名詞명사,短期,단기 교육,短期培訓,명사,名詞,단기09
중급,단단하다,骨뼈가,形容詞형용사,難的,뼈가,骨,형용사,形容詞,단단하다
중급,단독,會議으로 만나다,名詞명사,單身的,으로 만나다,會議,명사,名詞,단독02
중급,단맛,感覺을 느끼다,名詞명사,甜味,을 느끼다,感覺,명사,名詞,단맛
중급,단발머리,切로 자르다,名詞명사,波波頭,로 자르다,切,명사,名詞,단발머리
중급,단속,避免을 피하다,名詞명사,鎮壓,을 피하다,避免,명사,名詞,단속01
중급,단순히,簡單思考단순히 생각하다,副詞부사,簡單地,단순히 생각하다,簡單思考,부사,副詞,단순히
중급,단위,貨幣單位화폐 단위,名詞명사,單元,화폐 단위,貨幣單位,명사,名詞,단위02
중급,단점,克服을 극복하다,名詞명사,劣勢,을 극복하다,克服,명사,名詞,단점01
중급,단정하다,服裝옷차림이,形容詞형용사,整潔的,옷차림이,服裝,형용사,形容詞,단정하다01
중급,단지,就在附近~단지 ~만으로,副詞부사,僅有的,단지 ~만으로,就在附近~,부사,副詞,단지04
중급,단지,形成를 조성하다,名詞명사,僅有的,를 조성하다,形成,명사,名詞,단지08
중급,단체,加入에 가입하다,名詞명사,組織,에 가입하다,加入,명사,名詞,단체02
중급,닫히다,窗戶창문이,動詞동사,關閉,창문이,窗戶,동사,動詞,닫히다
중급,달다,按鈕단추를,動詞동사,稱重,단추를,按鈕,동사,動詞,달다03
중급,달다,請求달라고 하다,動詞동사,稱重,달라고 하다,請求,동사,動詞,달다05
중급,달라지다,這個地方장소가,動詞동사,改變,장소가,這個地方,동사,動詞,달라지다
중급,달래다,孩子아이를,動詞동사,麻痺,아이를,孩子,동사,動詞,달래다01
중급,달러,改為로 바꾸다,從屬名詞/名詞의존명사/명사,美元,로 바꾸다,改為,의존명사/명사,從屬名詞/名詞,달러
중급,달려가다,跑得快빠르게 달려가다,動詞동사,跑步,빠르게 달려가다,跑得快,동사,動詞,달려가다
중급,달려들다,搭乘公車버스로,動詞동사,衝進去,버스로,搭乘公車,동사,動詞,달려들다
중급,달려오다,路途遙遠먼 길을,動詞동사,跑步,먼 길을,路途遙遠,동사,動詞,달려오다
중급,달리,看起來不一樣달리 보이다,副詞부사,達利,달리 보이다,看起來不一樣,부사,副詞,달리01
중급,달리다,按鈕단추가,動詞동사,跑步,단추가,按鈕,동사,動詞,달리다01
중급,달빛,這光芒이 비치다,名詞명사,私釀酒,이 비치다,這光芒,명사,名詞,달빛
중급,달성,實現目標목표 달성,名詞명사,素養,목표 달성,實現目標,명사,名詞,달성
중급,달아나다,罪魁禍首범인이,動詞동사,逃跑,범인이,罪魁禍首,동사,動詞,달아나다
중급,달콤하다,蛋糕케이크가,形容詞형용사,它很甜,케이크가,蛋糕,형용사,形容詞,달콤하다
중급,달하다,在極限狀態下한계에,動詞동사,完成,한계에,在極限狀態下,동사,動詞,달하다01
중급,닳다,鞋신발이,動詞동사,磨損,신발이,鞋,동사,動詞,닳다
중급,담,堆疊을 쌓다,名詞명사,牆,을 쌓다,堆疊,명사,名詞,담01
중급,담,第二天담 날,名詞명사,牆,담 날,第二天,명사,名詞,담03
중급,담그다,在水中물에,動詞동사,沾,물에,在水中,동사,動詞,담그다
중급,담기다,碗裡的食物음식이 그릇에,動詞동사,包含,음식이 그릇에,碗裡的食物,동사,動詞,담기다01
중급,담다,米쌀을,動詞동사,包含,쌀을,米,동사,動詞,담다01
중급,담당,主管部門담당 부서,名詞명사,負責人,담당 부서,主管部門,명사,名詞,담당
중급,담당자,處理가 처리하다,名詞명사,主管,가 처리하다,處理,명사,名詞,담당자
중급,담백하다,品嚐맛이,形容詞형용사,清楚的,맛이,品嚐,형용사,形容詞,담백하다
중급,담요,覆蓋를 덮다,名詞명사,毯子,를 덮다,覆蓋,명사,名詞,담요
중급,담임,負責을 맡다,名詞명사,班主任,을 맡다,負責,명사,名詞,담임
중급,답변,聽을 듣다,名詞명사,回答,을 듣다,聽,명사,名詞,답변
중급,닷새,被抓가 걸리다,名詞명사,五天,가 걸리다,被抓,명사,名詞,닷새
중급,-당,每小時시간당,詞綴접사,-糖,시간당,每小時,접사,詞綴,-당16
중급,당근,吃을 먹다,名詞명사,紅蘿蔔,을 먹다,吃,명사,名詞,당근
중급,당기다,椅子의자를,動詞동사,拖船,의자를,椅子,동사,動詞,당기다01
중급,당당하다,態度태도가,形容詞형용사,自信的,태도가,態度,형용사,形容詞,당당하다
중급,당분간,休息一會兒당분간 쉬다,名詞/副詞명사/부사,目前,당분간 쉬다,休息一會兒,명사/부사,名詞/副詞,당분간
중급,당시,大約그 당시,名詞명사,當時,그 당시,大約,명사,名詞,당시02
중급,당신,人稱代名詞인칭 대명사,代名詞대명사,你,인칭 대명사,人稱代名詞,대명사,代名詞,당신02
중급,당연하다,結果결과가,形容詞형용사,當然,결과가,結果,형용사,形容詞,당연하다01
중급,당연히,當然不一樣。당연히 다르다,副詞부사,當然,당연히 다르다,當然不一樣。,부사,副詞,당연히01
중급,당일,我去了…로 다녀오다,名詞명사,天,로 다녀오다,我去了…,명사,名詞,당일
중급,당장,現在지금 당장,名詞명사,立即地,지금 당장,現在,명사,名詞,당장02
중급,당첨,樂透中獎복권 당첨,名詞명사,贏,복권 당첨,樂透中獎,명사,名詞,당첨
중급,당하다,給騙子사기꾼에게,動詞동사,遇到,사기꾼에게,給騙子,동사,動詞,당하다01
중급,당황,做을 하다,名詞명사,尷尬,을 하다,做,명사,名詞,당황02
중급,닿다,我手中손에,動詞동사,抵達,손에,我手中,동사,動詞,닿다01
중급,대,這件衣服很厚。가 굵다,名詞/從屬名詞명사/의존명사,大的,가 굵다,這件衣服很厚。,명사/의존명사,名詞/從屬名詞,대01
중급,대-,大家庭대가족,詞綴접사,大的-,대가족,大家庭,접사,詞綴,대-18
중급,대가,支付（貨物）를 지불하다(물건),名詞명사,成本,를 지불하다(물건),支付（貨物）,명사,名詞,대가06
중급,대강,大致整理대강 정리하다,名詞/副詞명사/부사,大綱,대강 정리하다,大致整理,명사/부사,名詞/副詞,대강02
중급,대개,大多數情況下대개의 경우,名詞/副詞명사/부사,大多,대개의 경우,大多數情況下,명사/부사,名詞/副詞,대개03
중급,대규모,大型事件대규모 행사,名詞명사,大規模,대규모 행사,大型事件,명사,名詞,대규모
중급,대기,被污染가 오염되다,名詞명사,氣氛,가 오염되다,被污染,명사,名詞,대기07
중급,대기,讓某人做를 시키다,名詞명사,氣氛,를 시키다,讓某人做,명사,名詞,대기16
중급,대기업,找到一份工作에 취직하다,名詞명사,大型企業,에 취직하다,找到一份工作,명사,名詞,대기업
중급,대낮,明亮如처럼 밝다,名詞명사,正午,처럼 밝다,明亮如,명사,名詞,대낮
중급,대다,在火車上열차 시간에,動詞동사,放,열차 시간에,在火車上,동사,動詞,대다01
중급,대다수,A同意가 찬성하다,名詞명사,複數,가 찬성하다,A同意,명사,名詞,대다수
중급,대단하다,技能실력이,形容詞형용사,驚人的,실력이,技能,형용사,形容詞,대단하다
중급,대단히,非常好대단히 좋다,副詞부사,非常,대단히 좋다,非常好,부사,副詞,대단히
중급,대도시,住在에 살다,名詞명사,大城市,에 살다,住在,명사,名詞,대도시
중급,대략,大致解釋一下대략 설명하다,名詞/副詞명사/부사,大約,대략 설명하다,大致解釋一下,명사/부사,名詞/副詞,대략
중급,대량,用으로 생산하다,名詞명사,堵塞,으로 생산하다,用,명사,名詞,대량01
중급,대로,向前一步로 나서다,名詞명사,主幹道,로 나서다,向前一步,명사,名詞,대로05
중급,대리,出席로 참석하다,名詞명사,副,로 참석하다,出席,명사,名詞,대리05
중급,대립,這很嚴重。이 심하다,名詞명사,反對,이 심하다,這很嚴重。,명사,名詞,대립03
중급,대문,打開을 열다,名詞명사,門,을 열다,打開,명사,名詞,대문03
중급,대비,色彩對比색채 대비,名詞명사,準備,색채 대비,色彩對比,명사,名詞,대비09
중급,대비,退休準備노후 대비,名詞명사,準備,노후 대비,退休準備,명사,名詞,대비10
중급,대사,工作직업,名詞명사,線,직업,工作,명사,名詞,대사04
중급,대사,記住를 외우다,名詞명사,線,를 외우다,記住,명사,名詞,대사17
중급,대상,研究對象연구 대상,名詞명사,目標,연구 대상,研究對象,명사,名詞,대상11
중급,대상자,成功候選人합격 대상자,名詞명사,主題,합격 대상자,成功候選人,명사,名詞,대상자03
중급,대신,你代替我나 대신 너,名詞명사,反而,나 대신 너,你代替我,명사,名詞,대신03
중급,대여섯,五、六歲대여섯 살,調查性的和形容詞수사·관형사,五、六個,대여섯 살,五、六歲,수사·관형사,調查性的和形容詞,대여섯
중급,대응,訴訟법적 대응,名詞명사,反應,법적 대응,訴訟,명사,名詞,대응02
중급,대접,飯店業손님 대접,名詞명사,熱情好客,손님 대접,飯店業,명사,名詞,대접05
중급,대조,指紋比對지문 대조,名詞명사,對比,지문 대조,指紋比對,명사,名詞,대조10
중급,대중,與…溝通과 소통하다,名詞명사,群眾,과 소통하다,與…溝通,명사,名詞,대중02
중급,대중가요,打電話를 부르다,名詞명사,流行音樂,를 부르다,打電話,명사,名詞,대중가요
중급,대중교통,前往으로 가다,名詞명사,大眾運輸,으로 가다,前往,명사,名詞,대중교통
중급,대중문화,發展가 발전하다,名詞명사,流行文化,가 발전하다,發展,명사,名詞,대중문화
중급,대책,準備을 마련하다,名詞명사,因應措施,을 마련하다,準備,명사,名詞,대책03
중급,대처,因應措施대처 방안,名詞명사,回覆,대처 방안,因應措施,명사,名詞,대처04
중급,대청소,深度房屋清潔집안 대청소,名詞명사,清理,집안 대청소,深度房屋清潔,명사,名詞,대청소
중급,대체,替代措施대체 방안,名詞명사,替代品,대체 방안,替代措施,명사,名詞,대체03
중급,대체로,一般來說，情況確實如此。대체로 그러하다,副詞부사,一般來說,대체로 그러하다,一般來說，情況確實如此。,부사,副詞,대체로
중급,대출,圖書借閱도서 대출,名詞명사,貸款,도서 대출,圖書借閱,명사,名詞,대출02
중급,대충,沾대충 읽다,副詞부사,大致,대충 읽다,沾,부사,副詞,대충01
중급,대통령,選擇을 뽑다,名詞명사,總統,을 뽑다,選擇,명사,名詞,대통령
중급,대표,待考慮로 꼽히다,名詞명사,代表,로 꼽히다,待考慮,명사,名詞,대표
중급,대표적,代表作대표적 작품,形容詞和名詞관형사·명사,代表,대표적 작품,代表作,관형사·명사,形容詞和名詞,대표적
중급,대하다,臉얼굴을,動詞동사,內容,얼굴을,臉,동사,動詞,대하다02
중급,대한민국,韓國公民대한민국 국민,名詞명사,韓國,대한민국 국민,韓國公民,명사,名詞,대한민국
중급,대형,大冰箱대형 냉장고,名詞명사,形成,대형 냉장고,大冰箱,명사,名詞,대형04
중급,댐,建造을 건설하다,名詞명사,壩,을 건설하다,建造,명사,名詞,댐02
중급,더구나,而且天氣還很熱。더구나 덥기까지 하다,副詞부사,而且,더구나 덥기까지 하다,而且天氣還很熱。,부사,副詞,더구나01
중급,더러워지다,衣服옷이,動詞동사,弄髒,옷이,衣服,동사,動詞,더러워지다
중급,더럽히다,衣服옷을,動詞동사,玷污,옷을,衣服,동사,動詞,더럽히다
중급,더불다,共同生活더불어 살다,動詞동사,一起,더불어 살다,共同生活,동사,動詞,더불다
중급,더욱더,變得更高더욱더 높아지다,副詞부사,更,더욱더 높아지다,變得更高,부사,副詞,더욱더
중급,더욱이,而且，風甚至還吹了起來。더욱이 바람까지 불다,副詞부사,更遠,더욱이 바람까지 불다,而且，風甚至還吹了起來。,부사,副詞,더욱이
중급,더위,避免를 피하다,名詞명사,熱,를 피하다,避免,명사,名詞,더위
중급,더하다,數位숫자를,形容詞/動詞형용사/동사,總計,숫자를,數位,형용사/동사,形容詞/動詞,더하다
중급,덕,這是高이 높다,名詞명사,美德,이 높다,這是高,명사,名詞,덕05
중급,덕택,感謝我的父母부모님 덕택,名詞명사,負債,부모님 덕택,感謝我的父母,명사,名詞,덕택
중급,덜,未煮熟的덜 익다,副詞부사,較少的,덜 익다,未煮熟的,부사,副詞,덜01
중급,덜다,米밥을,動詞동사,減去,밥을,米,동사,動詞,덜다01
중급,덧붙이다,壁紙벽지를,動詞동사,添加,벽지를,壁紙,동사,動詞,덧붙이다
중급,덩어리,發生가 생기다,名詞명사,麵包,가 생기다,發生,명사,名詞,덩어리
중급,덮다,毯子이불을,動詞동사,覆蓋,이불을,毯子,동사,動詞,덮다
중급,덮이다,蓋子뚜껑이,動詞동사,應付,뚜껑이,蓋子,동사,動詞,덮이다
중급,데,去處갈 데(장소),從屬名詞의존명사,地方,갈 데(장소),去處,의존명사,從屬名詞,데01
중급,데다,在火災中불에,動詞동사,德達,불에,在火災中,동사,動詞,데다01
중급,데리다,帶個人一起데리고 가다,動詞동사,陪同,데리고 가다,帶個人一起,동사,動詞,데리다
중급,데우다,燉찌개를,動詞동사,熱身,찌개를,燉,동사,動詞,데우다01
중급,데치다,蔬菜채소를,動詞동사,焯水,채소를,蔬菜,동사,動詞,데치다
중급,도,行政區행정 구역,名詞명사,做,행정 구역,行政區,명사,名詞,도11
중급,도구,清潔工具청소 도구,名詞명사,裝置,청소 도구,清潔工具,명사,名詞,도구10
중급,도난,遭受을 당하다,名詞명사,竊盜,을 당하다,遭受,명사,名詞,도난01
중급,도대체,已經過去多久了？도대체 얼마 만이니?,副詞부사,塵世的,도대체 얼마 만이니?,已經過去多久了？,부사,副詞,도대체
중급,도둑,捕捉을 잡다,名詞명사,賊,을 잡다,捕捉,명사,名詞,도둑01
중급,도로,路도로 오다,副詞부사,道路名稱,도로 오다,路,부사,副詞,도로01
중급,도리어,相反，你應該生氣。도리어 화를 내다,副詞부사,相反,도리어 화를 내다,相反，你應該生氣。,부사,副詞,도리어
중급,도마,放上去切片에 놓고 썰다,名詞명사,砧板,에 놓고 썰다,放上去切片,명사,名詞,도마01
중급,도망,出席을 다니다,名詞명사,逃脫,을 다니다,出席,명사,名詞,도망02
중급,도망가다,小偷도둑이,動詞동사,逃跑,도둑이,小偷,동사,動詞,도망가다
중급,도망치다,在監獄감옥에서,動詞동사,逃跑,감옥에서,在監獄,동사,動詞,도망치다
중급,도무지,我完全不知道도무지 모르다,副詞부사,絕對地,도무지 모르다,我完全不知道,부사,副詞,도무지02
중급,도서,圖書借閱도서 대출,名詞명사,圖書,도서 대출,圖書借閱,명사,名詞,도서06
중급,도시락,裹을 싸다,名詞명사,午餐,을 싸다,裹,명사,名詞,도시락
중급,도심,位於에 위치하다,名詞명사,市中心,에 위치하다,位於,명사,名詞,도심04
중급,도입,技術採納기술 도입,名詞명사,介紹,기술 도입,技術採納,명사,名詞,도입
중급,도자기,塑造를 빚다,名詞명사,陶瓷製品,를 빚다,塑造,명사,名詞,도자기
중급,도장,拍照을 찍다,名詞명사,塗層,을 찍다,拍照,명사,名詞,도장17
중급,도저히,這絕對不可能도저히 안 되다,副詞부사,我絕對,도저히 안 되다,這絕對不可能,부사,副詞,도저히
중급,도전,繼續을 계속하다,名詞명사,挑戰,을 계속하다,繼續,명사,名詞,도전04
중급,도중,幹擾에 끼어들다,名詞명사,在中間,에 끼어들다,幹擾,명사,名詞,도중04
중급,독,這會蔓延（蛇）이 퍼지다(뱀),名詞명사,毒,이 퍼지다(뱀),這會蔓延（蛇）,명사,名詞,독04
중급,독감,被抓에 걸리다,名詞명사,流感,에 걸리다,被抓,명사,名詞,독감01
중급,독립,獨立宣言독립 선언,名詞명사,獨立,독립 선언,獨立宣言,명사,名詞,독립
중급,독신자,生活로 살다,名詞명사,單身的,로 살다,生活,명사,名詞,독신자01
중급,독일어,教를 가르치다,名詞명사,德文,를 가르치다,教,명사,名詞,독일어
중급,독자,讀者和作者독자와 작가,名詞명사,讀者,독자와 작가,讀者和作者,명사,名詞,독자04
중급,독특하다,品嚐취향이,形容詞형용사,獨特的,취향이,品嚐,형용사,形容詞,독특하다
중급,독하다,氣味냄새가,形容詞형용사,惡毒,냄새가,氣味,형용사,形容詞,독하다
중급,돌,正確을 맞다,名詞/從屬名詞명사/의존명사,岩石,을 맞다,正確,명사/의존명사,名詞/從屬名詞,돌01
중급,돌려받다,圖書책을,動詞동사,把它找回來,책을,圖書,동사,動詞,돌려받다
중급,돌려보내다,專案물건을,動詞동사,寄回,물건을,專案,동사,動詞,돌려보내다
중급,돌멩이,丟를 던지다,名詞명사,石頭,를 던지다,丟,명사,名詞,돌멩이
중급,돌보다,孩子아이를,動詞동사,照顧好,아이를,孩子,동사,動詞,돌보다
